"","X","Company_Name","Dependent.Company.Status","Age.of.company.in.years","Internet.Activity.Score","Has.the.team.size.grown","Number.of.Investors.in.Seed","Number.of.Investors.in.Angel.and.or.VC","Number.of.Co.founders","Number.of.of.advisors","Team.size.Senior.leadership","Team.size.all.employees","Number.of.of.repeat.investors","Number.of..Sales.Support.material","Worked.in.top.companies","Average.size.of.companies.worked.for.in.the.past","Have.been.part.of.startups.in.the.past.","Have.been.part.of.successful.startups.in.the.past.","Was.he.or.she.partner.in.Big.5.consulting.","Consulting.experience.","Product.or.service.company.","Catering.to.product.service.across.verticals","Focus.on.private.or.public.data.","Focus.on.consumer.data.","Focus.on.structured.or.unstructured.data","Subscription.based.business","Cloud.or.platform.based.serive.product.","Local.or.global.player","Linear.or.Non.linear.business.model","Capital.intensive.business.e.g..e.commerce..Engineering.products.and.operations.can.also.cause.a.business.to.be.capital.intensive","Crowdsourcing.based.business","Crowdfunding.based.business","Machine.Learning.based.business","Predictive.Analytics.business","Speech.analytics.business","Prescriptive.analytics.business","Big.Data.Business","Cross.Channel.Analytics..marketing.channels","Owns.data.or.not...monetization.of.data..e.g..Factual","Is.the.company.an.aggregator.market.place..e.g..Bluekai","Online.or.offline.venture...physical.location.based.business.or.online.venture.","B2C.or.B2B.venture.","Barriers.of.entry.for.the.competitors","Percent_skill_Entrepreneurship","Percent_skill_Operations","Percent_skill_Engineering","Percent_skill_Marketing","Percent_skill_Leadership","Percent_skill_Data.Science","Percent_skill_Business.Strategy","Percent_skill_Product.Management","Percent_skill_Sales","Percent_skill_Domain","Percent_skill_Law","Percent_skill_Consulting","Percent_skill_Finance","Percent_skill_Investment","Renown.score","Is_marketing","Is_analytics","Is_e_commerce","Is_telco","Is_software","Is_advertising","Is_entertainment","Is_retail","Is_energy","Is_healthcare","Is_education","Is_HR","Is_finance","Is_transport","Is_real_estate","important_investors"
"202",202,"company202","success",2,118,"no",2,0,2,0,2,22,0,"medium","no","small","no","no","no","no","product","yes","private","yes","both","yes","cloud","global","non-linear","yes","no","no","yes","no","no","yes","yes","no","no","yes","online","b2b","yes",2.777777778,0,62.82051282,0,8.333333333,6.623931624,16.66666667,2.777777778,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"203",203,"company203","success",3,258,"yes",0,0,2,6,6,45,0,"low","no","medium","no","no","no","no","product","yes","private","yes","unstructured","yes","cloud","local","non-linear","no","no","no","yes","no","no","yes","no","yes","no","yes","online","b2b","yes",2.941176471,0,44.11764706,0,0,0,0,2.941176471,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",204,"company204","success",4,131,"yes",0,0,0,0,5,49,0,"medium","no","medium","yes","yes","no","yes","product","yes","private","yes","structured","yes","cloud","local","linear","no","no","no","no","yes","no","yes","no","no","no","no","online","b2b","yes",16.66666667,5.555555556,0,38.88888889,5.555555556,16.66666667,11.11111111,0,5.555555556,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"205",205,"company205","success",5,222,"yes",0,0,2,3,5,50,0,"high","yes","medium","no","no","no","no","service","yes","private","yes","structured","yes","cloud","global","linear","no","no","no","no","no","no","no","yes","yes","no","no","online","b2b","yes",1.851851852,0,33.33333333,1.851851852,3.703703704,1.851851852,16.66666667,3.703703704,1.851851852,1.851851852,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"206",206,"company206","success",5,56,"yes",2,0,2,3,4,24,2,"high","yes","medium","yes","yes","no","no","product","yes","private","yes","structured","yes","platform","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","no",5.555555556,2.777777778,58.33333333,0,5.555555556,0,16.66666667,2.777777778,2.777777778,2.777777778,0,0,0,2.777777778,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"207",207,"company207","success",4,281,"yes",0,0,2,4,3,15,1,"low","yes","large","no","no","no","no","service","no","private","yes","structured","yes","platform","global","non-linear","no","no","no","no","yes","no","yes","yes","no","no","no","online","b2c","no",3.125,0,15.625,3.125,3.125,0,6.25,3.125,3.125,12.5,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"208",208,"company208","success",7,331,"yes",0,0,1,1,7,85,0,"high","yes","small","yes","yes","no","no","product","yes","private","yes","unstructured","yes","platform","global","non-linear","no","no","no","no","yes","no","yes","no","no","no","no","online","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209",209,"company209","success",3,194,"yes",0,2,2,2,4,48,4,"medium","yes","medium","no","no","no","no","service","yes","private","yes","unstructured","yes","platform","local","linear","no","no","no","yes","no","no","yes","yes","no","no","no","offline","b2c","no",8.496732026,5.882352941,17.32026144,5.555555556,2.777777778,2.941176471,19.44444444,2.777777778,2.777777778,29.24836601,0,0,0,2.777777778,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"210",210,"company210","success",7,5,"yes",0,2,1,0,5,80,0,"medium","yes","medium","yes","yes","no","no","product","yes","private","yes","structured","yes","platform","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","no",0,2.777777778,25,2.777777778,2.777777778,0,8.333333333,2.777777778,0,5.555555556,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"212",212,"company212","success",14,194,"yes",0,5,0,0,8,40,0,"medium","yes","large","no","no","no","yes","service","yes","private","yes","unstructured","yes","platform","global","non-linear","yes","no","no","no","no","no","yes","no","no","no","no","offline","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213",213,"company213","success",5,61,"no",0,1,1,0,4,10,0,"high","no","small","yes","yes","no","no","service","yes","private","yes","structured","yes","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","no","offline","b2b","no",14.28571429,0,4.761904762,33.33333333,9.523809524,4.761904762,19.04761905,0,0,4.761904762,0,0,4.761904762,4.761904762,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"216",216,"company216","success",2,98,"yes",0,1,2,1,2,9,0,"low","yes","small","yes","yes","no","no","service","no","private","yes","structured","yes","platform","global","non-linear","no","no","no","no","yes","no","no","no","no","no","no","online","b2b","yes",16.66666667,0,11.11111111,0,11.11111111,0,27.77777778,0,22.22222222,11.11111111,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"217",217,"company217","success",2,115,"no",0,2,2,1,2,4,0,"low","no","large","no","no","no","no","service","no","private","no","structured","yes","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","no",5.555555556,10,0,8.333333333,10.55555556,7.777777778,13.33333333,0,18.88888889,20,0,0,2.777777778,2.777777778,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218",218,"company218","success",5,115,"yes",0,1,1,10,7,77,0,"high","yes","medium","yes","yes","no","no","product","yes","private","yes","structured","yes","cloud","global","linear","no","no","no","no","yes","no","yes","yes","no","no","no","online","b2b","no",3.125,0,21.875,6.25,0,6.25,6.25,3.125,3.125,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",220,"company220","success",6,294,"yes",1,0,3,0,9,415,0,"high","yes","large","no","no","no","no","service","no","private","yes","structured","yes","platform","global","non-linear","no","no","no","no","yes","no","no","yes","no","no","yes","online","b2b","yes",2.777777778,13.88888889,0,17.06349206,15.47619048,26.98412698,18.25396825,2.777777778,2.777777778,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"221",221,"company221","success",7,115,"yes",1,0,2,0,5,77,0,"medium","no","medium","yes","yes","no","yes","service","yes","private","yes","structured","yes","platform","global","non-linear","no","no","no","no","yes","no","yes","no","no","no","no","offline","b2b","yes",11.60130719,5.882352941,5.882352941,16.83006536,5.882352941,33.66013072,14.37908497,0,0,0,0,5.882352941,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223",223,"company223","success",7,36,"no",0,1,0,0,3,5,0,"low","yes","small","no","no","no","no","product","yes","private","no","unstructured","yes","cloud","local","non-linear","no","no","no","yes","no","no","yes","no","no","no","yes","online","b2b","no",100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"224",224,"company224","failed",5,12,"no",1,6,2,0,3,7,0,"high","no","small","yes","yes","no","yes","product","yes","private","yes","unstructured","yes","cloud","global","non-linear","no","no","no","yes","no","no","yes","no","no","no","no","online","b2c","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"225",225,"company225","failed",5,-16,"no",2,0,0,1,2,4,0,"medium","no","small","yes","yes","no","no","product","yes","private","yes","unstructured","yes","platform","local","non-linear","no","no","no","yes","no","no","no","no","no","no","yes","online","b2c","no",0,0,77.77777778,0,0,0,0,0,0,22.22222222,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"227",227,"company227","failed",6,0,"no",7,1,2,1,2,6,3,"low","no","small","yes","yes","no","no","product","yes","private","yes","unstructured","yes","platform","local","non-linear","no","no","no","yes","no","no","yes","no","no","no","no","online","b2b","no",0,6.666666667,86.66666667,0,0,0,6.666666667,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"228",228,"company228","failed",9,-133,"no",1,0,1,3,2,20,1,"medium","no","medium","yes","yes","no","no","service","yes","private","yes","structured","yes","cloud","local","non-linear","no","no","no","no","yes","no","yes","no","no","no","yes","online","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"229",229,"company229","success",2,115,"yes",0,0,2,1,2,30,0,"medium","yes","small","no","no","no","no","service","yes","private","no","both","yes","both","global","linear","yes","no","no","yes","yes","no","yes","yes","no","no","no","online","b2b","no",9.027777778,0,0,50,0,9.027777778,23.61111111,0,5.555555556,2.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"230",230,"company230","success",2,63,"no",3,0,2,0,3,6,0,"low","no","medium","yes","yes","no","no","service","yes","both","no","both","yes","platform","global","non-linear","no","no","no","yes","yes","yes","yes","yes","no","no","no","online","b2b","no",16.66666667,0,0,0,11.11111111,5.555555556,27.77777778,0,5.555555556,5.555555556,11.11111111,0,11.11111111,5.555555556,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"231",231,"company231","success",2,1193,"no",2,0,2,0,2,15,0,"high","no","large","yes","yes","yes","yes","service","yes","private","no","structured","yes","platform","global","non-linear","no","no","no","yes","yes","no","yes","yes","yes","no","no","online","b2b","no",16.66666667,5.555555556,0,33.33333333,0,5.555555556,27.77777778,0,5.555555556,5.555555556,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232",232,"company232","success",3,207,"no",6,0,3,2,3,18,1,"high","no","small","yes","no","no","no","both","yes","private","yes","structured","yes","cloud","global","linear","yes","no","no","no","no","no","no","yes","no","no","yes","online","b2b","no",8.333333333,3.703703704,15.74074074,7.407407407,0,3.703703704,12.03703704,15.74074074,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"234",234,"company234","success",4,388,"yes",0,0,3,3,6,37,2,"high","no","small","no","no","no","no","product","yes","private","yes","structured","yes","cloud","global","non-linear","no","no","no","no","yes","no","yes","yes","yes","no","no","online","b2b","yes",4.074074074,0,33.33333333,8.148148148,1.851851852,3.703703704,37.03703704,4.074074074,5.555555556,2.222222222,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236",236,"company236","success",2,115,"no",1,0,3,0,3,6,0,"low","no","small","yes","yes","no","no","service","no","private","no","both","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","yes","no","offline","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238",238,"company238","success",2,32,"no",0,9,4,0,6,10,0,"medium","yes","medium","yes","yes","no","no","service","yes","public","yes","both","yes","platform","global","non-linear","no","no","no","no","no","no","no","yes","yes","no","no","online","b2b","no",20,0,0,30,0,10,20,10,10,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"239",239,"company239","success",2,40,"yes",2,0,2,0,2,6,0,"nothing","no","large","no","no","yes","no","both","yes","public","yes","both","yes","platform","global","non-linear","no","no","no","yes","yes","no","yes","yes","yes","no","no","online","b2b","no",0,5.882352941,17.64705882,0,0,35.29411765,0,0,0,0,0,0,41.17647059,0,5,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
"240",240,"company240","success",3,603,"yes",0,0,4,8,8,96,4,"high","no","medium","yes","yes","no","no","service","yes","private","no","structured","yes","cloud","global","linear","yes","yes","no","no","no","no","no","yes","no","no","no","online","b2c","no",8.465608466,4.603174603,11.37566138,56.4021164,0,6.613756614,0,4.232804233,1.851851852,6.455026455,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"241",241,"company241","failed",7,115,"no",0,0,2,0,2,2,0,"nothing","no","small","no","no","no","no","service","no","public","no","no","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","yes","no","online","b2c","yes",11.11111111,0,5.555555556,16.66666667,5.555555556,5.555555556,38.88888889,5.555555556,5.555555556,0,0,0,0,5.555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",242,"company242","success",4,65,"no",0,0,2,0,2,6,0,"low","no","large","no","no","no","yes","product","no","both","yes","structured","no","platform","local","non-linear","no","no","no","no","no","no","yes","no","no","no","no","offline","b2b","no",5.882352941,5.882352941,35.29411765,0,5.882352941,5.882352941,5.882352941,17.64705882,0,17.64705882,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"243",243,"company243","success",5,73,"yes",0,0,2,0,3,36,2,"high","no","medium","yes","yes","no","yes","product","no","both","no","structured","yes","platform","global","linear","yes","no","no","no","no","no","no","yes","no","no","no","online","b2b","no",8.660130719,0,20.09803922,5.882352941,5.555555556,2.941176471,25.98039216,2.941176471,22.22222222,2.777777778,0,0,0,2.941176471,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"244",244,"company244","success",4,359,"yes",4,0,1,1,10,297,1,"high","no","large","yes","yes","no","yes","service","no","both","no","unstructured","no","platform","global","linear","yes","no","no","no","no","no","no","yes","no","no","no","offline","b2b","no",11.76470588,0,35.29411765,5.882352941,5.882352941,0,29.41176471,5.882352941,0,0,0,0,0,5.882352941,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"245",245,"company245","success",2,89,"no",0,1,2,0,2,4,0,"medium","no","small","no","no","no","yes","service","no","no","no","no","no","none","global","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2c","no",10,0,5,15,0,0,5,0,0,5,0,0,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"246",246,"company246","success",5,127,"yes",2,0,2,0,1,46,0,"high","no","medium","no","no","no","no","product","no","no","no","no","no","platform","local","linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","no",11.76470588,0,5.882352941,23.52941176,23.52941176,5.882352941,11.76470588,0,11.76470588,5.882352941,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"249",249,"company249","success",2,316,"yes",1,0,2,0,5,50,0,"low","no","medium","yes","yes","no","yes","product","yes","public","no","structured","no","both","global","linear","yes","no","no","yes","yes","yes","no","yes","no","no","yes","online","b2b","no",8.333333333,0,0,50,0,8.333333333,16.66666667,8.333333333,0,8.333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250",250,"company250","success",2,40,"no",1,0,0,1,1,22,0,"medium","no","medium","no","no","no","no","service","no","both","yes","structured","no","both","global","non-linear","yes","no","no","yes","yes","no","no","yes","no","yes","no","online","b2c","yes",6.25,0,0,56.25,6.25,0,0,0,6.25,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"251",251,"company251","success",2,89,"yes",1,0,2,0,2,10,0,"low","no","small","yes","yes","no","yes","service","yes","public","yes","both","yes","both","global","non-linear","no","no","no","yes","no","no","yes","yes","no","yes","no","online","b2b","yes",0,0,100,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252",252,"company252","success",3,157,"yes",2,1,4,0,1,13,2,"low","no","small","yes","yes","no","no","product","yes","public","no","no","yes","both","global","linear","yes","no","no","no","no","no","no","no","no","no","no","online","b2b","no",16.66666667,5.555555556,5.555555556,0,5.555555556,22.22222222,5.555555556,5.555555556,0,0,0,16.66666667,5.555555556,11.11111111,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"253",253,"company253","success",1,224,"no",3,0,3,0,3,10,0,"low","no","small","yes","yes","no","yes","product","yes","public","no","both","yes","both","global","non-linear","no","no","no","yes","yes","no","no","yes","yes","no","no","online","b2b","yes",8.585858586,6.060606061,3.03030303,20.70707071,0,2.777777778,8.333333333,2.777777778,5.555555556,5.808080808,0,0,3.03030303,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"254",254,"company254","success",5,-19,"no",3,0,2,0,5,50,0,"medium","no","medium","yes","yes","no","yes","product","no","both","no","both","yes","both","global","linear","no","no","no","yes","yes","no","no","yes","no","no","no","online","b2b","yes",5.882352941,0,46.63865546,7.142857143,7.142857143,5.882352941,10.08403361,2.941176471,7.142857143,7.142857143,0,0,0,0,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"255",255,"company255","success",2,138,"no",0,0,3,3,3,50,0,"low","no","medium","yes","yes","no","yes","product","no","both","no","both","no","both","global","non-linear","no","no","no","yes","yes","no","no","yes","yes","no","no","online","b2b","yes",16.66666667,5.555555556,5.555555556,0,5.555555556,16.66666667,33.33333333,11.11111111,0,5.555555556,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"259",259,"company259","success",1,133,"no",1,0,0,0,4,10,0,"medium","no","large","no","no","no","no","service","yes","private","yes","unstructured","yes","both","local","linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",20,0,0,30,0,10,0,0,20,20,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"260",260,"company260","success",4,131,"no",2,0,1,0,2,10,0,"low","no","small","yes","yes","no","yes","service","yes","public","no","unstructured","yes","both","local","non-linear","no","no","no","yes","yes","yes","no","no","no","no","no","online","b2c","no",5.882352941,11.76470588,64.70588235,0,0,0,5.882352941,0,0,11.76470588,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"261",261,"company261","success",4,357,"yes",5,0,2,0,6,50,0,"nothing","no","small","yes","yes","no","yes","service","yes","no","no","no","no","platform","local","non-linear","no","no","no","yes","yes","yes","no","no","no","no","no","online","b2b","no",0,0,75,0,0,25,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"262",262,"company262","success",4,-26,"yes",1,0,1,1,9,200,1,"nothing","no","small","yes","yes","no","no","service","no","public","no","both","yes","both","global","non-linear","yes","no","no","no","no","no","no","yes","no","no","yes","online","b2b","yes",11.11111111,0,16.66666667,22.22222222,0,11.11111111,22.22222222,0,0,5.555555556,0,0,0,11.11111111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"264",264,"company264","failed",7,-30,"no",0,0,3,0,5,22,0,"nothing","no","medium","yes","yes","no","yes","product","no","no","no","no","no","platform","local","non-linear","yes","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",12.96296296,3.703703704,22.22222222,1.851851852,3.703703704,14.81481481,20.37037037,3.703703704,1.851851852,11.11111111,0,0,0,3.703703704,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"265",265,"company265","success",9,-207,"no",0,4,2,1,3,9,0,"nothing","no","small","yes","yes","no","yes","product","no","no","no","no","yes","platform","local","linear","yes","no","no","no","no","no","no","no","no","no","no","online","b2c","no",13.82352941,0,18.82352941,13.82352941,8.382352941,5,22.20588235,7.941176471,5,5,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"266",266,"company266","success",4,-725,"no",0,1,1,0,5,50,0,"nothing","no","small","yes","no","no","yes","product","no","no","no","no","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","no",11.11111111,0,0,27.77777778,11.11111111,5.555555556,22.22222222,5.555555556,11.11111111,5.555555556,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"267",267,"company267","failed",7,115,"no",0,1,0,0,2,10,0,"low","no","small","yes","yes","no","yes","product","no","no","no","no","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",25,0,25,0,0,0,0,25,25,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"268",268,"company268","failed",4,242,"no",0,0,1,0,3,50,0,"nothing","no","small","no","no","no","yes","service","no","no","no","no","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2c","no",0,0,0,0,0,0,0,0,0,33.33333333,0,0,33.33333333,33.33333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"269",269,"company269","success",9,-391,"no",1,2,3,0,9,200,0,"nothing","no","large","no","no","no","no","product","yes","no","no","no","no","none","global","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","no",4.761904762,1.960784314,13.7254902,7.142857143,2.380952381,0,4.761904762,22.40896359,2.380952381,7.142857143,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270",270,"company270","failed",4,144,"no",0,0,2,0,2,22,0,"nothing","no","small","yes","yes","no","yes","product","no","no","no","no","yes","platform","local","linear","yes","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"271",271,"company271","failed",3,115,"no",1,0,3,0,3,10,0,"nothing","no","large","no","no","no","yes","service","no","both","no","both","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2c","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"273",273,"company273","failed",7,-53,"no",1,0,1,0,1,22,0,"nothing","no","small","yes","yes","no","yes","product","no","no","no","no","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","no",6.666666667,20,6.666666667,33.33333333,0,6.666666667,6.666666667,6.666666667,0,13.33333333,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"274",274,"company274","failed",3,-243,"no",1,0,4,0,4,10,0,"nothing","no","small","yes","yes","no","yes","service","yes","no","no","no","no","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","no",1.851851852,0,33.33333333,12.96296296,3.703703704,1.851851852,9.259259259,0,1.851851852,1.851851852,0,0,0,0,9,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"275",275,"company275","failed",4,115,"no",1,0,2,0,2,50,0,"nothing","yes","large","yes","yes","no","yes","service","no","no","no","no","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","no",3.125,3.125,59.375,3.125,0,0,15.625,6.25,0,9.375,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"276",276,"company276","failed",8,115,"yes",0,1,2,0,2,10,0,"nothing","no","small","yes","yes","no","yes","product","no","no","no","no","yes","platform","local","linear","yes","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",11.76470588,0,11.76470588,11.76470588,5.882352941,0,29.41176471,5.882352941,0,5.882352941,5.882352941,0,0,11.76470588,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"277",277,"company277","failed",5,115,"no",0,0,1,0,1,10,0,"nothing","no","small","yes","yes","no","yes","product","no","no","no","no","no","platform","local","linear","yes","no","no","no","no","no","no","no","no","no","no","offline","b2c","yes",0,0,83.33333333,0,5.555555556,0,5.555555556,0,0,5.555555556,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"281",281,"company281","failed",4,0,"no",1,0,3,0,4,10,0,"nothing","no","small","yes","yes","no","yes","service","no","no","no","no","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","yes",11.4379085,0,20.4248366,0,8.333333333,0,28.26797386,5.718954248,5.718954248,14.54248366,0,0,2.777777778,2.777777778,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"282",282,"company282","failed",7,-29,"no",0,0,0,0,1,200,0,"nothing","yes","large","yes","yes","no","yes","product","yes","no","no","no","no","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"283",283,"company283","failed",4,170,"yes",0,6,3,0,3,50,0,"nothing","no","large","no","no","no","yes","service","no","no","no","no","no","platform","local","non-linear","yes","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",7.142857143,0,0,0,7.142857143,7.142857143,10.71428571,0,0,3.571428571,0,3.571428571,7.142857143,3.571428571,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"284",284,"company284","failed",9,-169,"no",1,0,1,0,3,22,1,"nothing","no","small","yes","yes","no","yes","product","no","no","no","no","no","platform","local","linear","no","no","no","no","no","no","no","no","no","no","no","online","b2c","no",11.11111111,5.555555556,11.11111111,27.77777778,0,5.555555556,22.22222222,0,5.555555556,5.555555556,0,0,0,5.555555556,6,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"285",285,"company285","failed",6,15,"yes",3,2,1,0,3,50,1,"nothing","no","medium","yes","yes","no","no","service","no","no","no","no","no","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2c","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"286",286,"company286","failed",5,-8,"no",1,0,1,0,1,50,0,"nothing","no","small","yes","yes","no","yes","product","yes","no","no","no","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2b","no",0,5.555555556,0,72.22222222,0,0,16.66666667,5.555555556,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"287",287,"company287","failed",2,115,"no",1,0,2,0,2,50,0,"nothing","no","small","yes","no","no","yes","product","no","no","no","no","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"288",288,"company288","failed",6,115,"no",1,0,5,0,5,22,0,"nothing","no","small","yes","no","no","yes","product","no","no","no","no","no","platform","global","linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","no",4.705882353,1.111111111,35.35947712,1.176470588,1.176470588,2.352941176,3.529411765,1.176470588,7.058823529,2.352941176,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
